PERMNO,date,TICKER,COMNAM,RET
12060,10/29/99,GE,GENERAL ELECTRIC CO,0.142857
12060,11/30/99,GE,GENERAL ELECTRIC CO,-0.039668
12060,12/31/99,GE,GENERAL ELECTRIC CO,0.192392
12060,1/31/00,GE,GENERAL ELECTRIC CO,-0.136511
12060,2/29/00,GE,GENERAL ELECTRIC CO,-0.009355
12060,3/31/00,GE,GENERAL ELECTRIC CO,0.178735
12060,4/28/00,GE,GENERAL ELECTRIC CO,0.010442
12060,5/31/00,GE,GENERAL ELECTRIC CO,0.005167
12060,6/30/00,GE,GENERAL ELECTRIC CO,0.005931
12060,7/31/00,GE,GENERAL ELECTRIC CO,-0.026903
12060,8/31/00,GE,GENERAL ELECTRIC CO,0.140948
12060,9/29/00,GE,GENERAL ELECTRIC CO,-0.014711
12060,10/31/00,GE,GENERAL ELECTRIC CO,-0.049837
12060,11/30/00,GE,GENERAL ELECTRIC CO,-0.095781
12060,12/29/00,GE,GENERAL ELECTRIC CO,-0.029559
12060,1/31/01,GE,GENERAL ELECTRIC CO,-0.040834
12060,2/28/01,GE,GENERAL ELECTRIC CO,0.011309
12060,3/30/01,GE,GENERAL ELECTRIC CO,-0.096344
12060,4/30/01,GE,GENERAL ELECTRIC CO,0.159341
12060,5/31/01,GE,GENERAL ELECTRIC CO,0.009685
12060,6/29/01,GE,GENERAL ELECTRIC CO,-0.005102
12060,7/31/01,GE,GENERAL ELECTRIC CO,-0.10441
12060,8/31/01,GE,GENERAL ELECTRIC CO,-0.057931
12060,9/28/01,GE,GENERAL ELECTRIC CO,-0.088336
12060,10/31/01,GE,GENERAL ELECTRIC CO,-0.021237
12060,11/30/01,GE,GENERAL ELECTRIC CO,0.057402
12060,12/31/01,GE,GENERAL ELECTRIC CO,0.045714
12060,1/31/02,GE,GENERAL ELECTRIC CO,-0.073104
12060,2/28/02,GE,GENERAL ELECTRIC CO,0.041184
12060,3/28/02,GE,GENERAL ELECTRIC CO,-0.027273
12060,4/30/02,GE,GENERAL ELECTRIC CO,-0.157543
12060,5/31/02,GE,GENERAL ELECTRIC CO,-0.012995
12060,6/28/02,GE,GENERAL ELECTRIC CO,-0.061336
12060,7/31/02,GE,GENERAL ELECTRIC CO,0.108434
12060,8/30/02,GE,GENERAL ELECTRIC CO,-0.063665
12060,9/30/02,GE,GENERAL ELECTRIC CO,-0.176451
12060,10/31/02,GE,GENERAL ELECTRIC CO,0.024341
12060,11/29/02,GE,GENERAL ELECTRIC CO,0.074059
